tid,LEGAL_SCJUDGE,LEGAL_DESIGN,LEGAL_GEN,LEGAL_PATENT,LEGAL_TRADEMARK,LEGAL_COPYRIGHT,LEGAL_RESERVATION_CATEGORY,LEGAL_CRIMINAL_PROCEDURE,LEGAL_ENTITY,COPYRIGHT_ACT,PATENTS_ACT,DESIGNS_ACT,INFORMATION_TECHNOLOGY_ACT,TRADEMARK_ACT
1660833,0,7,31,0,0,0,0,191,16,0,0,0,0,0
1662395,0,0,31,3,0,0,0,66,10,0,0,0,0,0
1663733,45,8,22,2,0,0,0,191,17,0,0,0,0,0
1664373,0,4,31,0,0,3,4,66,10,0,0,0,0,0
166780307,0,8,31,0,0,0,0,191,17,0,0,0,0,0
1668065,0,7,30,3,0,0,4,66,10,0,0,0,0,0
1668551,0,0,17,0,0,22,0,66,17,0,0,0,0,0
1669803,0,0,20,0,0,0,4,191,16,0,0,0,0,0
1671648,0,7,31,0,0,0,0,191,15,0,0,0,0,0
1672214,0,8,31,2,0,0,0,66,1,0,0,0,0,0
167333165,0,7,27,0,62,5,0,78,8,0,0,0,1,0
1674695,0,4,31,0,62,5,4,191,10,0,0,0,0,0
1677837,0,7,13,0,0,0,0,191,16,0,0,0,0,0
1677896,0,9,31,0,0,0,0,191,10,0,0,0,0,0
16810704,0,8,31,2,0,3,0,191,17,0,0,0,0,0
1682715,0,4,27,0,0,5,0,66,8,0,0,1,0,0
168489488,0,5,31,0,0,5,0,209,10,0,0,1,0,0
1685319,0,7,31,0,0,0,0,191,15,0,0,0,0,0
1695101,0,0,31,0,0,0,0,66,8,0,0,0,0,0
169522737,0,0,31,0,0,0,4,191,16,0,0,0,0,0
1695291,0,7,31,0,0,3,4,191,17,0,0,0,0,0
1697217,0,6,31,3,0,3,4,191,21,0,0,0,0,0
1700195,0,0,31,3,0,0,4,66,10,0,0,0,0,0
1703545,0,7,22,0,0,3,0,191,15,0,0,0,0,0
1706612,0,4,17,0,62,0,0,14,17,0,0,0,0,0
